117;PLT006;"Le service PLT n'est pas disponible pour l'une des 3 raisons suivantes: ce service est indisponible pour le pays expéditeur ou destinataire ; le  produit choisi n'est pas compatible avec ce service ; ou la valeur déclarée est trop importante. Veillez contacter votre Service Clients DHL pour plus d'information ou reformuler votre demande.   "
118;PLT007;La taille totale des images a dépassé la taille maximum nécéssaire pour le service PLT. Veuillez vérifier et réessayer.
119;PU003;Ville et/ou code postal inconnu(s), impossible de programmer l'enlèvement. Veuillez contacter notre service support technique.
120;PU004;Numéro de compte non valide pour le service d'enlèvement
121;PU005;Impossible de vérifier le numéro du compte
122;PU006;Impossible de vérifier le numéro du compte. Pour programmer un enlèvement, veuillez appeler votre Service Clients
123;PU007a;L'enlèvement ne peut PAS être programmé à cause du statut de crédit du No de compte.
124;PU007b;L'enlèvement ne peut PAS être programmé à cause du statut de crédit du No de compte.
125;PU008a;L'enlèvement ne peut PAS être programmé. La date d'enlèvement est passée. Veuillez corriger la date et valider votre demande d'enlèvement.
126;PU008b;L'enlèvement ne peut PAS être programmé. La date de l'enlèvement est programmé dans plus de dix jours. Veuillez changer la date et valider.
127;PU009;La date d'enlèvement demandée est impossible. Veuillez appeler votre Service Clients
128;PU009a;L'enlèvement ne peut PAS être programmé. Le service d'enlèvement n'est pas disponible durant le week-end pour cette adresse. Veuillez contacter votre Service Clients DHL
129;PU009b;L'enlèvement ne peut PAS être programmé. Le service d'enlèvement n'est pas disponible pour les horaires indiqués.  Veuillez choisir un créneau plus tôt ou contacter votre Service Clients DHL
130;PU009c;L'enlèvement ne peut PAS être programmé. L'enlèvement est programmé pendant les jours fériés. Veuillez changer la date d'enlèvement.
131;PU009d;L'enlèvement ne peut PAS être programmé. L'enlèvement est programmé pendant les jours fériés. Pour obtenir des informations concernant les enlèvements pendant cette période, veuillez contacter votre Service Clients DHL.
132;PU009e;L'enlèvement ne peut PAS être programmé. L'enlèvement est programmé pendant les jours fériés. Pour obtenir des informations concernant les enlèvements pendant cette période, veuillez contacter votre Service Clients DHL.
133;PU010a;L'enlèvement ne peut PAS être programmé. Aucun code postal n'a été trouvé pour l'enlèvement. Pour obtenir de l'aide, veuillez contacter votre Service client DHL
134;PU010b;L'enlèvement ne peut PAS être programmé. Impossible de faire un enlèvement dans cette ville avant notre clôture. Pour obtenir de l'aide concernant les enlèvements, veuillez contacter votre Service Clients.
135;PU011a;L'enlèvement ne peut PAS être programmé. Délai d'enlèvement trop court. Veuillez changer la date d'enlèvement ou choisir le jour suivant.
136;PU011b;L'enlèvement ne peut PAS être programmé. Pour programmer un enlèvement dans cette zone, merci de contacter votre Service Clients DHL pour convenir un RDV.
137;PU012;L'enlèvement ne peut PAS être programmé. L'heure d'enlèvement choisi dépasse l'heure de fermeture de cette agence. Veuillez corriger la date et valider votre demande d'enlèvement.
138;PU012a;Malheureusement, soit l'heure que vous avez choisie pour l'enlèvement n'est pas disponible, soit le service d'enlèvement n'est pas possible pour cette expédition.
139;PU012b;L'enlèvement ne peut PAS être programmé. L'heure d'enlèvement choisie est en dehors de nos créneaux d'enlèvement. Veuillez corriger la date
140;PU013a;L'enlèvement ne peut PAS être programmé. L'enlèvement doit avoir lieu au moins 1 heure avant les heures de fermeture ou au plus tard au moment de la fermeture
